ref,libA,titre,id_lieu,lib,lat,lng,occupation
CV,Antenne - CV,COMMERCE,9137,COMMERCE - 116800001,49.48511250,0.10422050,Occup
CV,Antenne - CV,COMMERCE,10007,COMMERCE - 190800001,49.49704030,0.11220840,Occup
CV,Antenne - CV,COMMERCE,10020,COMMERCE - 191810001,49.49517130,0.12180340,Occup
CV,Antenne - CV,COMMERCE,10380,COMMERCE - 199800001,49.49702670,0.12748170,Occup
CV,Antenne - CV,COMMERCE,10383,COMMERCE - 199800002,49.49702670,0.12748170,Vacant
CV,Antenne - CV,COMMERCE,10774,COMMERCE - 402800001,49.50645000,0.11880070,Occup
CV,Antenne - CV,COMMERCE,10777,COMMERCE - 402800002,49.50616400,0.11767850,Occup
CV,Antenne - CV,COMMERCE,11162,COMMERCE - 405800001,49.50714430,0.12633460,Occup
CV,Antenne - CV,COMMERCE,11165,COMMERCE - 405800002,49.50697190,0.12747630,Vacant
CV,Antenne - CV,COMMERCE,13225,COMMERCE - 417800002,49.50970390,0.12750020,Occup
CV,Antenne - CV,COMMERCE,13228,COMMERCE - 417800003,49.50976620,0.12752160,Occup
MR,Antenne - MR,COMMERCE,15243,COMMERCE - 437800003,49.52274530,0.12971390,Occup
MR,Antenne - MR,COMMERCE,15246,COMMERCE - 437800004,49.52275860,0.12954810,Occup
MR,Antenne - MR,COMMERCE,15249,COMMERCE - 437800005,49.52285390,0.12956610,Occup
QS,Antenne - QS,COMMERCE,17935,COMMERCE - 230800001,49.50126410,0.17242560,Occup
QS,Antenne - QS,COMMERCE,18969,COMMERCE - 248010001,49.48572540,0.13698790,Occup
QS,Antenne - QS,COMMERCE,19444,COMMERCE - 262800001,49.48470020,0.13342440,Vacant
QS,Antenne - QS,COMMERCE,19523,COMMERCE - 266800001,49.48441090,0.13148020,Occup
QS,Antenne - QS,COMMERCE,20560,COMMERCE - 285800001,49.47699600,0.16394790,Occup
QS,Antenne - QS,COMMERCE,20576,COMMERCE - 286820001,49.49217450,0.13995110,Occup
QS,Antenne - QS,COMMERCE,20579,COMMERCE - 286830001,49.49217450,0.13995110,Occup
QS,Antenne - QS,COMMERCE,20617,COMMERCE - 287800001,49.49315000,0.13976350,Occup
QS,Antenne - QS,COMMERCE,21576,COMMERCE - 295800001,49.49542180,0.15571450,Vacant
QS,Antenne - QS,COMMERCE,21600,COMMERCE - 295810001,49.49542180,0.15571450,Occup
QS,Antenne - QS,COMMERCE,21622,COMMERCE - 295820001,49.49542180,0.15571450,Occup
QS,Antenne - QS,COMMERCE,21640,COMMERCE - 295840001,49.49542180,0.15571450,Occup
QS,Antenne - QS,COMMERCE,21643,COMMERCE - 295850001,49.49542180,0.15571450,Vacant
QS,Antenne - QS,COMMERCE,21669,COMMERCE - 297800001,49.49037850,0.14261250,Occup
