ref,libA,titre,id_lieu,lib,lat,lng,occupation
BL,Antenne - BL,GARAGE,258,GARAGE - 506020005,49.52019630,0.09539430,Vacant
BL,Antenne - BL,GARAGE,679,GARAGE - 519020141,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,681,GARAGE - 519020134,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,682,GARAGE - 519020132,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,687,GARAGE - 519020133,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,694,GARAGE - 519030010,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,695,GARAGE - 519020143,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,696,GARAGE - 519030076,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,697,GARAGE - 519020131,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,699,GARAGE - 519020144,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,700,GARAGE - 519020150,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,718,GARAGE - 519010177,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,725,GARAGE - 519030064,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,726,GARAGE - 519030107,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,727,GARAGE - 519030112,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,729,GARAGE - 519030049,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,732,GARAGE - 519030055,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,733,GARAGE - 519030009,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,734,GARAGE - 519030027,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,735,GARAGE - 519030003,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,736,GARAGE - 519030089,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,738,GARAGE - 519030074,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,740,GARAGE - 519030023,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,741,GARAGE - 519030002,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,742,GARAGE - 519030005,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,743,GARAGE - 519030006,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,744,GARAGE - 519030069,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,745,GARAGE - 519030048,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,746,GARAGE - 519030068,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,747,GARAGE - 519030004,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,753,GARAGE - 519030095,49.51724760,0.09446480,Vacant
BL,Antenne - BL,GARAGE,754,GARAGE - 519030039,49.51724760,0.09446480,Vacant
