ref,libA,titre,id_lieu,lib,lat,lng,occupation
BL,Antenne - BL,GARAGE,247,GARAGE - 506010003,49.51971570,0.09257050,Occup
BL,Antenne - BL,GARAGE,249,GARAGE - 506010006,49.51971570,0.09257050,Occup
BL,Antenne - BL,GARAGE,250,GARAGE - 506010001,49.51971570,0.09257050,Occup
BL,Antenne - BL,GARAGE,251,GARAGE - 506010002,49.51971570,0.09257050,Occup
BL,Antenne - BL,GARAGE,252,GARAGE - 506010005,49.51971570,0.09257050,Occup
BL,Antenne - BL,GARAGE,253,GARAGE - 506010004,49.51971570,0.09257050,Occup
BL,Antenne - BL,GARAGE,257,GARAGE - 506020001,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,259,GARAGE - 506020007,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,260,GARAGE - 506020002,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,261,GARAGE - 506020009,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,262,GARAGE - 506020008,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,263,GARAGE - 506020004,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,264,GARAGE - 506020010,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,265,GARAGE - 506020006,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,266,GARAGE - 506020003,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,267,GARAGE - 506020011,49.52019630,0.09539430,Occup
BL,Antenne - BL,GARAGE,428,GARAGE - 511010021,49.51862430,0.09310290,Occup
BL,Antenne - BL,GARAGE,429,GARAGE - 511010015,49.51862430,0.09310290,Occup
BL,Antenne - BL,GARAGE,430,GARAGE - 511010023,49.51862430,0.09310290,Occup
BL,Antenne - BL,GARAGE,680,GARAGE - 519020149,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,683,GARAGE - 519020135,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,684,GARAGE - 519020148,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,685,GARAGE - 519020147,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,686,GARAGE - 519020138,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,688,GARAGE - 519020145,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,689,GARAGE - 519020146,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,690,GARAGE - 519020140,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,691,GARAGE - 519020137,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,692,GARAGE - 519020139,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,693,GARAGE - 519020136,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,698,GARAGE - 519020130,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,701,GARAGE - 519020142,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,705,GARAGE - 519010168,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,706,GARAGE - 519010166,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,707,GARAGE - 519010173,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,708,GARAGE - 519010174,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,709,GARAGE - 519010175,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,710,GARAGE - 519010178,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,711,GARAGE - 519010171,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,712,GARAGE - 519010179,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,713,GARAGE - 519010172,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,714,GARAGE - 519010170,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,715,GARAGE - 519010167,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,716,GARAGE - 519010165,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,717,GARAGE - 519010180,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,719,GARAGE - 519010176,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,720,GARAGE - 519010169,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,721,GARAGE - 519010164,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,728,GARAGE - 519030054,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,730,GARAGE - 519030025,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,731,GARAGE - 519030035,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,737,GARAGE - 519030067,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,739,GARAGE - 519030037,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,748,GARAGE - 519030012,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,749,GARAGE - 519030013,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,750,GARAGE - 519030114,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,751,GARAGE - 519030091,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,752,GARAGE - 519030110,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,761,GARAGE - 519030115,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,764,GARAGE - 519030011,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,765,GARAGE - 519030061,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,768,GARAGE - 519030044,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,769,GARAGE - 519030045,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,770,GARAGE - 519030057,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,771,GARAGE - 519030060,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,773,GARAGE - 519030041,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,781,GARAGE - 519030052,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,782,GARAGE - 519030059,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,789,GARAGE - 519040163,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,790,GARAGE - 519040181,49.51724760,0.09446480,Occup
BL,Antenne - BL,GARAGE,792,GARAGE - 519040119,49.51754350,0.09447940,Occup
BL,Antenne - BL,GARAGE,793,GARAGE - 519040120,49.51754350,0.09447940,Occup
BL,Antenne - BL,GARAGE,794,GARAGE - 519040117,49.51754350,0.09447940,Occup
BL,Antenne - BL,GARAGE,796,GARAGE - 519040106,49.51803210,0.09433360,Occup
BL,Antenne - BL,GARAGE,798,GARAGE - 519040078,49.51847560,0.09393660,Occup
BL,Antenne - BL,GARAGE,799,GARAGE - 519040079,49.51847560,0.09393660,Occup
BL,Antenne - BL,GARAGE,803,GARAGE - 519040022,49.51906110,0.09422570,Occup
BL,Antenne - BL,GARAGE,804,GARAGE - 519040016,49.51906110,0.09422570,Occup
BL,Antenne - BL,GARAGE,808,GARAGE - 519030093,49.51803210,0.09433360,Occup
BL,Antenne - BL,GARAGE,810,GARAGE - 519030097,49.51803210,0.09433360,Occup
BL,Antenne - BL,GARAGE,994,GARAGE - 521010010,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,995,GARAGE - 521010017,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,996,GARAGE - 521010003,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,997,GARAGE - 521010004,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,998,GARAGE - 521010015,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,999,GARAGE - 521010002,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1000,GARAGE - 521010020,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1001,GARAGE - 521010019,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1002,GARAGE - 521010012,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1003,GARAGE - 521010005,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1004,GARAGE - 521010001,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1005,GARAGE - 521010008,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1006,GARAGE - 521010011,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1007,GARAGE - 521010006,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1008,GARAGE - 521010016,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1009,GARAGE - 521010014,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1010,GARAGE - 521010013,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1011,GARAGE - 521010007,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1012,GARAGE - 521010009,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1013,GARAGE - 521010018,49.51510190,0.10079060,Occup
BL,Antenne - BL,GARAGE,1117,GARAGE - 530040044,49.52237070,0.11428630,Occup
BL,Antenne - BL,GARAGE,1118,GARAGE - 530040023,49.52237070,0.11428630,Occup
BL,Antenne - BL,GARAGE,1119,GARAGE - 530040001,49.52237070,0.11428630,Occup
BL,Antenne - BL,GARAGE,1120,GARAGE - 530040020,49.52237070,0.11428630,Occup
BL,Antenne - BL,GARAGE,1121,GARAGE - 530040011,49.52237070,0.11428630,Occup
BL,Antenne - BL,GARAGE,1122,GARAGE - 530040019,49.52237070,0.11428630,Occup
BL,Antenne - BL,GARAGE,1123,GARAGE - 530040038,49.52237070,0.11428630,Occup
BL,Antenne - BL,GARAGE,1245,GARAGE - 536010007,49.52085440,0.10671400,Occup
BL,Antenne - BL,GARAGE,1247,GARAGE - 536010024,49.52099580,0.10767920,Occup
BL,Antenne - BL,GARAGE,1251,GARAGE - 536010031,49.52073250,0.10813590,Occup
BL,Antenne - BL,GARAGE,1255,GARAGE - 536010050,49.52059840,0.10579100,Occup
BL,Antenne - BL,GARAGE,1257,GARAGE - 536010053,49.52087700,0.10575430,Occup
BL,Antenne - BL,GARAGE,1286,GARAGE - 541010019,49.52980040,0.11780980,Occup
BL,Antenne - BL,GARAGE,1289,GARAGE - 541010017,49.52980040,0.11780980,Occup
BL,Antenne - BL,GARAGE,1290,GARAGE - 541010006,49.52980040,0.11780980,Occup
BL,Antenne - BL,GARAGE,1292,GARAGE - 541010007,49.52980040,0.11780980,Occup
