ref,lat,lng,statut
8721,49.47699600,0.16394790,
17533,49.47962950,0.16406900,
19894,49.47982500,0.16635480,
17525,49.48001400,0.16364200,
19818,49.48074920,0.16367280,
19832,49.48100490,0.16347200,
19792,49.48124710,0.16323610,
19806,49.48125020,0.16321700,
19756,49.48132280,0.16467550,
19780,49.48155920,0.16424250,
19744,49.48187510,0.16368160,
19730,49.48213260,0.16315920,
19844,49.48264870,0.16191300,1
19858,49.48272110,0.16213700,
19365,49.48384450,0.13451400,
19523,49.48441090,0.13148020,
19513,49.48448460,0.13100980,
19515,49.48454210,0.13141660,1
19505,49.48458490,0.13122360,
19424,49.48470020,0.13342440,
8612,49.48511250,0.10422050,
19448,49.48521930,0.13389040,
8642,49.48546320,0.10390030,1
8509,49.48553500,0.10204930,
8670,49.48556860,0.10415740,
8694,49.48566830,0.10443000,
19541,49.48567530,0.13758120,
8527,49.48568270,0.10240940,
18969,49.48572540,0.13698790,
8709,49.48576800,0.10470250,
8568,49.48584680,0.10274330,
19716,49.48598150,0.13708650,
8506,49.48602210,0.10080220,
9184,49.48603350,0.10076900,
19475,49.48603480,0.13488040,
8911,49.48614500,0.10086020,1
8541,49.48615580,0.10091160,
19486,49.48615800,0.13487660,
20632,49.48616260,0.13108450,
9167,49.48618590,0.10037650,
9154,49.48622320,0.10053670,1
9098,49.48623090,0.10319420,
8925,49.48625300,0.10097140,
19687,49.48625600,0.14034630,
8552,49.48626440,0.10105430,
9116,49.48632320,0.10310980,
19494,49.48632710,0.13477360,
9176,49.48633500,0.09997000,
8660,49.48633750,0.10418020,
19527,49.48635240,0.14078150,
8741,49.48635850,0.10416090,
8488,49.48641980,0.10145430,
19462,49.48643220,0.13432030,
19643,49.48645420,0.14014540,
9126,49.48645870,0.10313750,
9140,49.48650530,0.10305860,
19657,49.48656770,0.14004930,
19667,49.48673470,0.13979170,
8899,49.48686980,0.10260610,
8885,49.48687580,0.10261510,
8937,49.48689160,0.10260140,
19677,49.48690170,0.13953420,
19701,49.48698510,0.13940540,
8951,49.48703460,0.10247800,
8771,49.48718410,0.10341420,
9405,49.48723170,0.10575770,
9393,49.48733280,0.10555930,
9359,49.48734150,0.10498040,
9373,49.48734680,0.10516340,
9383,49.48735830,0.10535700,1
19195,49.48756780,0.13523660,
9746,49.48759620,0.11447370,
8963,49.48760020,0.10196580,1
9773,49.48778100,0.11363500,
8977,49.48779170,0.10177440,
9056,49.48781430,0.10176460,
9204,49.48793650,0.10207080,
8475,49.48794350,0.10888200,
9735,49.48797610,0.11442800,
8989,49.48806950,0.10153420,1
8411,49.48817210,0.11006700,1
9003,49.48819720,0.10141900,
9013,49.48832480,0.10130380,
8425,49.48836660,0.10989160,
19361,49.48839450,0.14952210,1
9023,49.48845240,0.10118860,
8435,49.48856110,0.10971610,
9033,49.48857930,0.10107060,
19871,49.48864730,0.16299940,
9043,49.48870490,0.10095010,
21786,49.48875090,0.14490990,
8445,49.48875560,0.10954070,1
8455,49.48895010,0.10936520,
8465,49.48914460,0.10918980,
8408,49.48916400,0.10919400,
20883,49.48917940,0.13960400,
21771,49.48922030,0.14504540,
9606,49.48922080,0.11390140,
21009,49.48932270,0.14906180,
20943,49.48935160,0.13928940,1
20953,49.48935350,0.13950310,
21010,49.48939330,0.14917010,
9580,49.48940600,0.11306730,
21011,49.48947080,0.14925270,
20933,49.48952280,0.13896040,
21007,49.48956300,0.14926570,1
21719,49.48957480,0.14444090,1
21008,49.48963120,0.14917030,
21867,49.48966720,0.14519430,
20684,49.48968940,0.13863950,
21701,49.48969910,0.14424750,1
20643,49.48971330,0.13862520,
21012,49.48991370,0.14873700,
20897,49.48994010,0.14099050,
20790,49.48994820,0.13892660,1
21032,49.48995060,0.14809690,
21755,49.48996170,0.14385820,
20861,49.48998060,0.14025050,1
21013,49.48998430,0.14862870,
20832,49.49004950,0.14006290,
21014,49.49005490,0.14852040,
21015,49.49012550,0.14841210,1
21017,49.49014160,0.14838760,
20965,49.49014970,0.13983690,
20979,49.49016300,0.13985410,
20810,49.49018310,0.13922800,
21018,49.49021350,0.14827920,
20907,49.49025990,0.14058560,
21019,49.49028550,0.14817070,1
21020,49.49035740,0.14806220,
21660,49.49037850,0.14261250,
20721,49.49041800,0.13952930,
21021,49.49042940,0.14795380,
21022,49.49050130,0.14784530,
21673,49.49051240,0.14265000,
21023,49.49057330,0.14773680,
21029,49.49059400,0.14718620,
21033,49.49059850,0.14718180,1
21688,49.49061760,0.14289170,1
20750,49.49064360,0.13984870,
21024,49.49064520,0.14762840,1
21027,49.49066180,0.14730080,
21025,49.49071710,0.14751990,
21026,49.49072950,0.14741550,
21035,49.49104740,0.14118300,
8813,49.49127710,0.11549460,1
8803,49.49131470,0.11429240,
8823,49.49136050,0.11545490,
8789,49.49137270,0.11436200,
9663,49.49139160,0.11782770,
21888,49.49141500,0.14558610,
9653,49.49147420,0.11734730,
9643,49.49147980,0.11715350,
9615,49.49148360,0.11696840,
8858,49.49148660,0.11521230,
8850,49.49149690,0.11491120,
8849,49.49150730,0.11461020,
8835,49.49151760,0.11430910,
9673,49.49164450,0.11777420,1
19309,49.49194860,0.14152090,
19329,49.49208470,0.14125840,
19357,49.49215570,0.14113080,
20564,49.49217450,0.13995110,1
20287,49.49218170,0.13989570,
19901,49.49225450,0.13830240,
19913,49.49232510,0.13857820,
19954,49.49238360,0.13880360,
19944,49.49241240,0.13894630,
17944,49.49249650,0.14847560,
20372,49.49249660,0.13967420,1
20355,49.49252340,0.13992140,
21646,49.49270800,0.14893570,
21097,49.49291180,0.14947380,
21178,49.49292880,0.14952710,1
21261,49.49294580,0.14958040,
21368,49.49296280,0.14963370,
21450,49.49304770,0.14930140,1
20608,49.49315000,0.13976350,1
9439,49.49315200,0.12012050,
19983,49.49346910,0.14124820,
19997,49.49351280,0.14142460,
19221,49.49353070,0.14251750,
20012,49.49355650,0.14160110,
20027,49.49360020,0.14177760,
20583,49.49362230,0.14194190,
20596,49.49362850,0.14218990,
20039,49.49364390,0.14195410,
20054,49.49368760,0.14213060,
20621,49.49371730,0.14233260,
20066,49.49373130,0.14230700,
20553,49.49381910,0.13935430,
20094,49.49422590,0.14075290,
20107,49.49426840,0.14103430,
20123,49.49435350,0.14159710,
9495,49.49439270,0.12606940,
20082,49.49439930,0.14188150,
9489,49.49440050,0.12662920,
10042,49.49450560,0.12019640,
10045,49.49451950,0.11962410,
9777,49.49463940,0.12431080,1
10334,49.49479400,0.12372940,
10300,49.49480290,0.12384780,
20305,49.49483610,0.15454980,
10215,49.49501960,0.12079090,
10109,49.49509950,0.12072910,
9795,49.49514800,0.12519600,
10011,49.49517130,0.12180340,
10124,49.49517940,0.12066730,
9810,49.49524030,0.12505400,
9905,49.49529260,0.11338440,
9921,49.49529610,0.11336600,
9931,49.49540910,0.11331240,
21039,49.49542180,0.15571450,
20302,49.49553380,0.15360840,
20308,49.49560100,0.15347640,
20322,49.49565100,0.15340930,
9986,49.49565690,0.11692980,
