lib, type, nb
Antenne - BL, D4, 10,15
Antenne - BL, DI, 6,16
Antenne - BL, FO, 2
Antenne - BL, GA, 505
Antenne - BL, GP, 86
Antenne - BL, LO, 11
Antenne - BL, LV, 22
Antenne - BL, P2,11
Antenne - BL, P3,26
Antenne - BL, P4,70
Antenne - BL, P5,61
Antenne - BL, P6,31
Antenne - BL, P7,3
Antenne - BL, T1,63
Antenne - BL, T2,381
Antenne - BL, T3,817
Antenne - BL, T4,711
Antenne - BL, T5,232
Antenne - BL, T6,43
Antenne - BL, T0,3
Antenne - CA, D4,2
Antenne - CA,DI,17
Antenne - CA,FO,2
Antenne - CA,GA,629
Antenne - CA,LO,17
Antenne - CA,LV,27
Antenne - CA,P1,2
Antenne - CA,P2,104
Antenne - CA,P3,140
Antenne - CA,P4,50
Antenne - CA,P5,23
Antenne - CA,P6,1
Antenne - CA,P7,1
Antenne - CA,T1,33
Antenne - CA,T2,288
Antenne - CA,T3,1178
Antenne - CA,T4,1146
Antenne - CA,T5,279
Antenne - CA,T6,26
