Type_logement,Nombre_pieces,Etages, Surface_Reelle, Annee_Construction, DP_consommation_reelle
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"DI,""0"",""0"",""0"",""1957"","
"T3,""3"",""02"",""64"",""1973"",""297"""
"T4,""4"",""01"",""73,05"",""1973"",""297"""
"T3,""3"",""01"",""64"",""1973"",""297"""
"T3,""3"",""00"",""64"",""1973"",""297"""
"T4,""4"",""02"",""73,05"",""1973"",""297"""
"P4,""4"",""00"",""139,23"",""1975"","
"T4,""4"",""00"",,""2011"","
"T3,""3"",""01"",,""2011"","
"T5,""5"",""03"",""72"",""1957"",""189"""
"T5,""5"",""00"",""72"",""1957"",""189"""
"T2,""2"",""02"",""38"",""1957"",""189"""
"T5,""5"",""04"",""72"",""1957"",""189"""
"T5,""5"",""02"",""72"",""1957"",""189"""
"T1,""1"",""00"",""29"",""1957"",""189"""
"T2,""2"",""01"",""38"",""1957"",""189"""
"T2,""2"",""03"",""38"",""1957"",""189"""
"T2,""2"",""04"",""38"",""1957"",""189"""
"T5,""5"",""01"",""72"",""1957"",""189"""
"T5,""5"",""00"",""72"",""1957"",""189"""
"T2,""2"",""04"",""38"",""1957"",""189"""
"T2,""2"",""02"",""38"",""1957"",""189"""
"T2,""2"",""03"",""38"",""1957"",""189"""
"T5,""5"",""04"",""72"",""1957"",""189"""
"T5,""5"",""02"",""72"",""1957"",""189"""
"T5,""5"",""03"",""72"",""1957"",""189"""
"T5,""5"",""01"",""72"",""1957"",""189"""
"T2,""2"",""01"",""38"",""1957"",""189"""
"T1,""1"",""00"",""29"",""1957"",""189"""
"T2,""2"",""01"",""38"",""1957"",""189"""
