ref;libA;titre;id_lieu;lib;lat;lng;occupation
BL;Antenne - BL;LOGEMENT;7;LOGEMENT - 377010004;49.52645140;0.12057110;Occup
BL;Antenne - BL;LOGEMENT;9;LOGEMENT - 377010003;49.52645140;0.12057110;Occup
BL;Antenne - BL;LOGEMENT;10;LOGEMENT - 377010002;49.52645140;0.12057110;Occup
BL;Antenne - BL;LOGEMENT;12;LOGEMENT - 377010001;49.52645140;0.12057110;Occup
BL;Antenne - BL;LOGEMENT;13;LOGEMENT - 377010005;49.52645140;0.12057110;Occup
BL;Antenne - BL;LOGEMENT;17;LOGEMENT - 447010001;49.51952250;0.11028360;Occup
BL;Antenne - BL;LOGEMENT;21;LOGEMENT - 451010001;49.50958940;0.09169150;Occup
BL;Antenne - BL;LOGEMENT;23;LOGEMENT - 451010015;49.50958940;0.09169150;Occup
BL;Antenne - BL;LOGEMENT;27;LOGEMENT - 505020007;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;29;LOGEMENT - 505020001;49.51971570;0.09257050;Vacant
BL;Antenne - BL;LOGEMENT;31;LOGEMENT - 505020006;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;33;LOGEMENT - 505020009;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;34;LOGEMENT - 505020005;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;35;LOGEMENT - 505020002;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;37;LOGEMENT - 505020004;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;38;LOGEMENT - 505020008;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;39;LOGEMENT - 505020010;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;40;LOGEMENT - 505020003;49.51971570;0.09257050;Occup
BL;Antenne - BL;LOGEMENT;41;LOGEMENT - 505020012;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;42;LOGEMENT - 505020019;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;43;LOGEMENT - 505020015;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;44;LOGEMENT - 505020017;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;45;LOGEMENT - 505020020;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;46;LOGEMENT - 505020016;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;47;LOGEMENT - 505020018;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;48;LOGEMENT - 505020014;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;49;LOGEMENT - 505020013;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;50;LOGEMENT - 505020011;49.51983700;0.09262700;Occup
BL;Antenne - BL;LOGEMENT;51;LOGEMENT - 505020023;49.51932660;0.09386110;Occup
BL;Antenne - BL;LOGEMENT;52;LOGEMENT - 505020021;49.51932660;0.09386110;Occup
BL;Antenne - BL;LOGEMENT;53;LOGEMENT - 505020024;49.51932660;0.09386110;Occup
BL;Antenne - BL;LOGEMENT;54;LOGEMENT - 505020028;49.51932660;0.09386110;Occup
BL;Antenne - BL;LOGEMENT;55;LOGEMENT - 505020025;49.51932660;0.09386110;Occup
BL;Antenne - BL;LOGEMENT;56;LOGEMENT - 505020026;49.51932660;0.09386110;Occup
BL;Antenne - BL;LOGEMENT;57;LOGEMENT - 505020030;49.51932660;0.09386110;Occup
