ref,libA,titre,id_lieu,lib,lat,lng,occupation
BL,Antenne - BL,LOGEMENT,29,LOGEMENT - 505020001,49.51971570,0.09257050,Vacant
BL,Antenne - BL,LOGEMENT,111,LOGEMENT - 505030101,49.51915120,0.09490940,Vacant
BL,Antenne - BL,LOGEMENT,136,LOGEMENT - 505030077,49.51934180,0.09386610,Vacant
BL,Antenne - BL,LOGEMENT,138,LOGEMENT - 505030081,49.51930370,0.09407480,Vacant
BL,Antenne - BL,LOGEMENT,141,LOGEMENT - 505030084,49.51930370,0.09407480,Vacant
BL,Antenne - BL,LOGEMENT,184,LOGEMENT - 505040133,49.51932510,0.09385880,Vacant
BL,Antenne - BL,LOGEMENT,278,LOGEMENT - 508010017,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,279,LOGEMENT - 508010014,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,280,LOGEMENT - 508010013,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,281,LOGEMENT - 508010012,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,282,LOGEMENT - 508010011,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,283,LOGEMENT - 508010010,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,284,LOGEMENT - 508010007,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,285,LOGEMENT - 508010006,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,286,LOGEMENT - 508010005,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,287,LOGEMENT - 508010009,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,288,LOGEMENT - 508010004,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,289,LOGEMENT - 508010008,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,290,LOGEMENT - 508010003,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,291,LOGEMENT - 508010002,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,292,LOGEMENT - 508010001,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,293,LOGEMENT - 508010020,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,294,LOGEMENT - 508010016,49.52190700,0.08533100,Vacant
BL,Antenne - BL,LOGEMENT,295,LOGEMENT - 508010019,49.52131580,0.08474550,Vacant
BL,Antenne - BL,LOGEMENT,296,LOGEMENT - 508010015,49.52190700,0.08533100,Vacant
