ref,lat,lng,statut
8721,49.47699600,0.16394790,1
17533,49.47962950,0.16406900,0
19894,49.47982500,0.16635480,1
17525,49.48001400,0.16364200,1
19818,49.48074920,0.16367280,1
19832,49.48100490,0.16347200,0
19792,49.48124710,0.16323610,1
19806,49.48125020,0.16321700,1
19756,49.48132280,0.16467550,1
19780,49.48155920,0.16424250,0
19744,49.48187510,0.16368160,1
19730,49.48213260,0.16315920,0
19844,49.48264870,0.16191300,0
19858,49.48272110,0.16213700,1
19365,49.48384450,0.13451400,1
19523,49.48441090,0.13148020,1
19513,49.48448460,0.13100980,1
19515,49.48454210,0.13141660,0
19505,49.48458490,0.13122360,1
19424,49.48470020,0.13342440,1
8612,49.48511250,0.10422050,1
19448,49.48521930,0.13389040,1
8642,49.48546320,0.10390030,0
8509,49.48553500,0.10204930,1
8670,49.48556860,0.10415740,1
8694,49.48566830,0.10443000,0
19541,49.48567530,0.13758120,1
8527,49.48568270,0.10240940,1
18969,49.48572540,0.13698790,1
8709,49.48576800,0.10470250,0
8568,49.48584680,0.10274330,1
19716,49.48598150,0.13708650,1
8506,49.48602210,0.10080220,1
9184,49.48603350,0.10076900,0
19475,49.48603480,0.13488040,1
8911,49.48614500,0.10086020,0
8541,49.48615580,0.10091160,0
19486,49.48615800,0.13487660,1
20632,49.48616260,0.13108450,0
9167,49.48618590,0.10037650,1
9154,49.48622320,0.10053670,0
9098,49.48623090,0.10319420,1
8925,49.48625300,0.10097140,1
19687,49.48625600,0.14034630,0
8552,49.48626440,0.10105430,0
9116,49.48632320,0.10310980,1
19494,49.48632710,0.13477360,1
9176,49.48633500,0.09997000,1
8660,49.48633750,0.10418020,1
19527,49.48635240,0.14078150,0
8741,49.48635850,0.10416090,1
8488,49.48641980,0.10145430,1
19462,49.48643220,0.13432030,1
19643,49.48645420,0.14014540,1
9126,49.48645870,0.10313750,0
9140,49.48650530,0.10305860,1
19657,49.48656770,0.14004930,1
19667,49.48673470,0.13979170,0
8899,49.48686980,0.10260610,1
8885,49.48687580,0.10261510,0
8937,49.48689160,0.10260140,1
19677,49.48690170,0.13953420,1
19701,49.48698510,0.13940540,1
8951,49.48703460,0.10247800,0
8771,49.48718410,0.10341420,1
9405,49.48723170,0.10575770,0
9393,49.48733280,0.10555930,1
9359,49.48734150,0.10498040,1
9373,49.48734680,0.10516340,1
9383,49.48735830,0.10535700,0
19195,49.48756780,0.13523660,0
9746,49.48759620,0.11447370,0
8963,49.48760020,0.10196580,0
9773,49.48778100,0.11363500,1
8977,49.48779170,0.10177440,1
